slide_name,permissible_angle,slide_width_um,scanner_name,time_stamp,slide_id,load_identifier,x_offset_um,y_offset_um,row_index,col_index,row_col
H01CBA06P_95061,3.949116405,25410,H01CBA06P,2021-04-11T04:07:42,95061,CS002-3-1618114047174,,,0,0,"0,0"
H01CBA06P_95062,3.94313249,25448.5,H01CBA06P,2021-04-11T04:08:27,95062,CS002-3-1618114047174,,,0,1,"0,1"
H01CBA06P_95063,3.96113893,25333,H01CBA06P,2021-04-11T04:09:13,95063,CS002-3-1618114047174,,,0,2,"0,2"
H01CBA06P_94937,-0.517144949,25448.5,H01CBA06P,2021-04-11T03:36:50,94937,CS002-3-1618066883159,,,0,1,"0,1"
H01CBA06P_94938,-0.51856785,25410,H01CBA06P,2021-04-11T03:37:15,94938,CS002-3-1618066883159,,,0,2,"0,2"
H01CBA06P_94939,-0.517200968,25333,H01CBA06P,2021-04-11T03:37:39,94939,CS002-3-1618066883159,,,0,3,"0,3"
H01CBA06P_94940,-0.530200037,25179,H01CBA06P,2021-04-11T03:38:03,94940,CS002-3-1618066883159,,,0,4,"0,4"
H01CBA06P_95066,3.973234939,25256,H01CBA06P,2021-04-11T05:04:24,95066,CS002-3-1618117449676,,,0,0,"0,0"
H01CBA06P_95067,3.949116405,25410,H01CBA06P,2021-04-11T05:06:05,95067,CS002-3-1618117449676,,,0,1,"0,1"
H01CBA06P_95068,3.96113893,25333,H01CBA06P,2021-04-11T05:10:13,95068,CS002-3-1618117802664,,,0,0,"0,0"
H01CBA06P_95069,3.949116405,25410,H01CBA06P,2021-04-11T05:11:50,95069,CS002-3-1618117802664,,,0,1,"0,1"
H01CBA06P_95070,3.94313249,25448.5,H01CBA06P,2021-04-11T05:13:25,95070,CS002-3-1618117995424,,,0,0,"0,0"
H01CBA02P_95190,4.560776957,25152,H01CBA02P,2021-04-11T05:13:49,95190,CS002-1-1618118000086,,,0,0,"0,0"
H01CBA06P_95071,3.949116405,25410,H01CBA06P,2021-04-11T05:14:27,95071,CS002-3-1618117995424,,,0,1,"0,1"
H01CBA02P_95191,4.51133037,25427.1,H01CBA02P,2021-04-11T05:15:07,95191,CS002-1-1618118000086,,,0,1,"0,1"
H01CBA06P_95072,3.94313249,25448.5,H01CBA06P,2021-04-11T05:15:46,95072,CS002-3-1618117995424,,,0,2,"0,2"
H01CBA02P_95192,4.449311532,25780.8,H01CBA02P,2021-04-11T05:16:26,95192,CS002-1-1618118000086,,,0,2,"0,2"
H01CBA06P_95073,3.973234939,25256,H01CBA06P,2021-04-11T05:17:05,95073,CS002-3-1618117995424,,,0,3,"0,3"
H01CBA02P_95193,4.476663432,25623.6,H01CBA02P,2021-04-11T05:17:45,95193,CS002-1-1618118000086,,,0,3,"0,3"
H01CBA06P_95074,3.967177707,25294.5,H01CBA06P,2021-04-11T05:18:24,95074,CS002-3-1618117995424,,,0,4,"0,4"
H01CBA02P_95194,4.525348107,25348.5,H01CBA02P,2021-04-11T05:19:04,95194,CS002-1-1618118000086,,,0,4,"0,4"
H01CBA05P_95310,4.518114354,25389,H01CBA05P,2021-04-11T05:19:22,95310,CS002-2-1618118012311,,,0,0,"0,0"
H01CBA06P_95075,3.967177707,25294.5,H01CBA06P,2021-04-11T05:20:00,95075,CS002-3-1618117995424,,,0,5,"0,5"
H01CBA02P_95195,4.525348107,25348.5,H01CBA02P,2021-04-11T05:20:40,95195,CS002-1-1618118000086,,,0,5,"0,5"
H01CBA05P_95311,4.560231885,25155,H01CBA05P,2021-04-11T05:21:24,95311,CS002-2-1618118012311,,,0,1,"0,1"
H01CBA06P_95076,3.94313249,25448.5,H01CBA06P,2021-04-11T05:22:03,95076,CS002-3-1618117995424,,,0,6,"0,6"
H01CBA05P_95312,4.560231885,25155,H01CBA05P,2021-04-11T05:22:40,95312,CS002-2-1618118012311,,,0,2,"0,2"
H01CBA02P_95196,4.560776957,25152,H01CBA02P,2021-04-11T05:23:19,95196,CS002-1-1618118000086,,,0,6,"0,6"
H01CBA05P_95313,4.518114354,25389,H01CBA05P,2021-04-11T05:23:56,95313,CS002-2-1618118012311,,,0,3,"0,3"
H01CBA06P_95077,3.967177707,25294.5,H01CBA06P,2021-04-11T05:24:34,95077,CS002-3-1618117995424,,,0,7,"0,7"
H01CBA05P_95315,4.539075318,25272,H01CBA05P,2021-04-11T05:25:36,95315,CS002-2-1618118012311,,,0,5,"0,5"
H01CBA02P_95197,4.532389727,25309.2,H01CBA02P,2021-04-11T05:26:15,95197,CS002-1-1618118000086,,,0,7,"0,7"
H01CBA06P_95078,3.94313249,25448.5,H01CBA06P,2021-04-11T05:26:54,95078,CS002-3-1618117995424,,,0,8,"0,8"
H01CBA05P_95316,4.567328016,25116,H01CBA05P,2021-04-11T05:27:32,95316,CS002-2-1618118012311,,,0,6,"0,6"
H01CBA02P_95198,4.567929472,25112.7,H01CBA02P,2021-04-11T05:28:10,95198,CS002-1-1618118000086,,,0,8,"0,8"
H01CBA06P_95079,3.979310711,25217.5,H01CBA06P,2021-04-11T05:28:49,95079,CS002-3-1618117995424,,,0,9,"0,9"
H01CBA02P_95199,4.532389727,25309.2,H01CBA02P,2021-04-11T05:29:30,95199,CS002-1-1618118000086,,,0,9,"0,9"
H01CBA05P_95317,4.532066731,25311,H01CBA05P,2021-04-11T05:30:06,95317,CS002-2-1618118012311,,,0,7,"0,7"
H01CBA06P_95080,3.985405109,25179,H01CBA06P,2021-04-11T05:30:45,95080,CS002-3-1618117995424,,,0,10,"0,10"
H01CBA02P_95200,4.51133037,25427.1,H01CBA02P,2021-04-11T05:31:25,95200,CS002-1-1618118000086,,,0,10,"0,10"
H01CBA06P_95081,3.949116405,25410,H01CBA06P,2021-04-11T05:32:04,95081,CS002-3-1618117995424,,,0,11,"0,11"
H01CBA05P_95318,4.511170365,25428,H01CBA05P,2021-04-11T05:32:42,95318,CS002-2-1618118012311,,,0,8,"0,8"
H01CBA02P_95201,4.497399297,25505.7,H01CBA02P,2021-04-11T05:33:20,95201,CS002-1-1618118000086,,,0,11,"0,11"
H01CBA06P_95082,3.985405109,25179,H01CBA06P,2021-04-11T05:33:59,95082,CS002-3-1618117995424,,,0,12,"0,12"
H01CBA05P_95319,4.511170365,25428,H01CBA05P,2021-04-11T05:34:38,95319,CS002-2-1618118012311,,,0,9,"0,9"
H01CBA02P_95202,4.539453319,25269.9,H01CBA02P,2021-04-11T05:35:16,95202,CS002-1-1618118000086,,,0,12,"0,12"
H01CBA06P_95083,3.991518217,25140.5,H01CBA06P,2021-04-11T05:35:55,95083,CS002-3-1618117995424,,,0,13,"0,13"
H01CBA05P_95320,4.49734629,25506,H01CBA05P,2021-04-11T05:36:33,95320,CS002-2-1618118012311,,,0,10,"0,10"
H01CBA02P_95203,4.532389727,25309.2,H01CBA02P,2021-04-11T05:37:12,95203,CS002-1-1618118000086,,,0,13,"0,13"
H01CBA06P_95084,3.955118524,25371.5,H01CBA06P,2021-04-11T05:37:51,95084,CS002-3-1618117995424,,,0,14,"0,14"
H01CBA05P_95321,4.546105638,25233,H01CBA05P,2021-04-11T05:38:29,95321,CS002-2-1618118012311,,,0,11,"0,11"
H01CBA06P_95085,3.985405109,25179,H01CBA06P,2021-04-11T05:39:08,95085,CS002-3-1618117995424,,,0,15,"0,15"
H01CBA05P_95322,4.50424771,25467,H01CBA05P,2021-04-11T05:39:46,95322,CS002-2-1618118012311,,,0,12,"0,12"
H01CBA02P_95204,4.525348107,25348.5,H01CBA02P,2021-04-11T05:40:25,95204,CS002-1-1618118000086,,,0,14,"0,14"
H01CBA06P_95086,3.973234939,25256,H01CBA06P,2021-04-11T05:41:04,95086,CS002-3-1618117995424,,,0,16,"0,16"
H01CBA05P_95323,4.532066731,25311,H01CBA05P,2021-04-11T05:41:42,95323,CS002-2-1618118012311,,,0,13,"0,13"
H01CBA06P_95087,3.949116405,25410,H01CBA06P,2021-04-11T05:42:21,95087,CS002-3-1618117995424,,,0,17,"0,17"
H01CBA05P_95324,4.546105638,25233,H01CBA05P,2021-04-11T05:42:59,95324,CS002-2-1618118012311,,,0,14,"0,14"
H01CBA06P_95088,3.991518217,25140.5,H01CBA06P,2021-04-11T05:43:38,95088,CS002-3-1618117995424,,,0,18,"0,18"
H01CBA02P_95205,4.490466009,25545,H01CBA02P,2021-04-11T05:44:18,95205,CS002-1-1618118000086,,,0,15,"0,15"
H01CBA06P_95089,3.967177707,25294.5,H01CBA06P,2021-04-11T05:44:57,95089,CS002-3-1618117995424,,,0,19,"0,19"
H01CBA05P_95325,4.490466009,25545,H01CBA05P,2021-04-11T05:45:36,95325,CS002-2-1618118012311,,,0,15,"0,15"
H01CBA02P_95206,4.525348107,25348.5,H01CBA02P,2021-04-11T05:46:14,95206,CS002-1-1618118000086,,,0,16,"0,16"
H01CBA06P_95090,3.979310711,25217.5,H01CBA06P,2021-04-11T05:46:53,95090,CS002-3-1618117995424,,,0,20,"0,20"
H01CBA05P_95326,4.518114354,25389,H01CBA05P,2021-04-11T05:47:32,95326,CS002-2-1618118012311,,,0,16,"0,16"
H01CBA02P_95207,4.483554087,25584.3,H01CBA02P,2021-04-11T05:48:10,95207,CS002-1-1618118000086,,,0,17,"0,17"
H01CBA06P_95091,3.895906686,25756.5,H01CBA06P,2021-04-11T05:48:50,95091,CS002-3-1618117995424,,,0,21,"0,21"
H01CBA05P_95327,4.490466009,25545,H01CBA05P,2021-04-11T05:49:28,95327,CS002-2-1618118012311,,,0,17,"0,17"
H01CBA06P_95092,3.955118524,25371.5,H01CBA06P,2021-04-11T05:50:07,95092,CS002-3-1618117995424,,,0,22,"0,22"
H01CBA06P_95093,3.973234939,25256,H01CBA06P,2021-04-11T05:50:53,95093,CS002-3-1618117995424,,,0,23,"0,23"
H01CBA05P_95328,4.539075318,25272,H01CBA05P,2021-04-11T05:51:31,95328,CS002-2-1618118012311,,,0,18,"0,18"
H01CBA06P_95094,3.955118524,25371.5,H01CBA06P,2021-04-11T05:52:10,95094,CS002-3-1618117995424,,,0,24,"0,24"
H01CBA05P_95329,4.449622828,25779,H01CBA05P,2021-04-11T05:52:49,95329,CS002-2-1618118012311,,,0,19,"0,19"
H01CBA06P_95095,3.919377222,25602.5,H01CBA06P,2021-04-11T05:53:28,95095,CS002-3-1618117995424,,,0,25,"0,25"
H01CBA05P_95330,4.553157793,25194,H01CBA05P,2021-04-11T05:54:06,95330,CS002-2-1618118012311,,,0,20,"0,20"
H01CBA05P_95331,4.525079776,25350,H01CBA05P,2021-04-11T05:54:52,95331,CS002-2-1618118012311,,,0,21,"0,21"
H01CBA05P_95332,4.518114354,25389,H01CBA05P,2021-04-11T05:55:37,95332,CS002-2-1618118012311,,,0,22,"0,22"
H01CBA05P_95333,4.553157793,25194,H01CBA05P,2021-04-11T05:56:23,95333,CS002-2-1618118012311,,,0,23,"0,23"
H01CBA02P_95208,4.539453319,25269.9,H01CBA02P,2021-04-11T05:57:01,95208,CS002-1-1618118000086,,,0,18,"0,18"
H01CBA05P_95334,4.50424771,25467,H01CBA05P,2021-04-11T05:57:39,95334,CS002-2-1618118012311,,,0,24,"0,24"
H01CBA02P_95209,4.525348107,25348.5,H01CBA02P,2021-04-11T05:58:18,95209,CS002-1-1618118000086,,,0,19,"0,19"
H01CBA06P_95096,3.949116405,25410,H01CBA06P,2021-04-11T05:59:01,95096,CS002-3-1618117995424,,,0,26,"0,26"
H01CBA05P_95335,4.539075318,25272,H01CBA05P,2021-04-11T05:59:39,95335,CS002-2-1618118012311,,,0,25,"0,25"
H01CBA02P_95210,4.462945532,25702.2,H01CBA02P,2021-04-11T06:00:18,95210,CS002-1-1618118000086,,,0,20,"0,20"
H01CBA06P_95097,4.009970677,25025,H01CBA06P,2021-04-11T06:00:58,95097,CS002-3-1618117995424,,,0,27,"0,27"
H01CBA05P_95336,4.449622828,25779,H01CBA05P,2021-04-11T06:01:36,95336,CS002-2-1618118012311,,,0,26,"0,26"
H01CBA02P_95211,4.442525754,25820.1,H01CBA02P,2021-04-11T06:02:14,95211,CS002-1-1618118000086,,,0,21,"0,21"
H01CBA06P_95098,3.997650124,25102,H01CBA06P,2021-04-11T06:02:54,95098,CS002-3-1618117995424,,,0,28,"0,28"
H01CBA05P_95337,4.469951026,25662,H01CBA05P,2021-04-11T06:03:33,95337,CS002-2-1618118012311,,,0,27,"0,27"
H01CBA02P_95212,4.525348107,25348.5,H01CBA02P,2021-04-11T06:04:11,95212,CS002-1-1618118000086,,,0,22,"0,22"
