stack_index,focus_metric,blob_index,aoi_name
0,4.782846281777144,0,aoi0002
1,4.933594678070801,0,aoi0002
2,5.281183178902352,0,aoi0002
3,5.827037301021621,0,aoi0002
4,5.007008790686624,0,aoi0002
0,4.698622000475172,5,aoi0002
1,4.988714659063911,5,aoi0002
2,5.112140650985983,5,aoi0002
3,5.825730577334284,5,aoi0002
4,4.951532430506059,5,aoi0002
0,5.0906391066761705,10,aoi0002
1,5.410311237823711,10,aoi0002
2,5.081610833927298,10,aoi0002
3,5.817771442147778,10,aoi0002
4,4.936920883820385,10,aoi0002
0,4.887265383701592,15,aoi0002
1,5.199334758850084,15,aoi0002
2,4.981468282252316,15,aoi0002
3,5.581135661677358,15,aoi0002
4,4.978854834877644,15,aoi0002
0,4.812544547398432,20,aoi0002
1,4.973033974815871,20,aoi0002
2,4.801021620337372,20,aoi0002
3,5.234853884533143,20,aoi0002
4,4.780232834402471,20,aoi0002
0,4.66120218579235,25,aoi0002
1,4.792824899025897,25,aoi0002
2,4.766809218341649,25,aoi0002
3,5.124970301734379,25,aoi0002
4,4.742219054407222,25,aoi0002
0,4.840698503207412,30,aoi0002
1,5.264789736279401,30,aoi0002
2,5.182822523164647,30,aoi0002
3,5.2727488714659065,30,aoi0002
4,4.823829888334521,30,aoi0002
0,4.841292468519838,1,aoi0002
1,4.987289142314089,1,aoi0002
2,5.64575908766928,1,aoi0002
3,6.1350677120456165,1,aoi0002
4,5.110596341173675,1,aoi0002
0,5.2178664765977665,6,aoi0002
1,5.350083155143739,6,aoi0002
2,5.52328344024709,6,aoi0002
3,6.154193395105726,6,aoi0002
4,5.225112853409361,6,aoi0002
0,4.852577809455928,11,aoi0002
1,4.998693276312664,11,aoi0002
2,5.135661677358042,11,aoi0002
3,5.682703730102162,11,aoi0002
4,4.998336897125208,11,aoi0002
0,4.853646947018294,16,aoi0002
1,5.04288429555714,16,aoi0002
2,5.150154430981231,16,aoi0002
3,5.753266809218342,16,aoi0002
4,4.994297933000713,16,aoi0002
0,4.884176764076978,21,aoi0002
1,5.350083155143739,21,aoi0002
2,5.1023996198622,21,aoi0002
3,5.9333570919458305,21,aoi0002
4,5.1000237586124975,21,aoi0002
0,4.684842005226895,26,aoi0002
1,4.948087431693989,26,aoi0002
2,5.047754811119031,26,aoi0002
3,5.362912805892136,26,aoi0002
4,4.919458303635068,26,aoi0002
0,4.749940603468757,31,aoi0002
1,4.8718222855785225,31,aoi0002
2,4.856735566642908,31,aoi0002
3,5.182703730102162,31,aoi0002
4,4.708244238536469,31,aoi0002
0,4.7641957709669756,2,aoi0002
1,4.902233309574721,2,aoi0002
2,5.492040864813495,2,aoi0002
3,5.4060346875742455,2,aoi0002
4,5.0136612021857925,2,aoi0002
0,6.18056545497743,7,aoi0002
1,8.568662390116417,7,aoi0002
2,9.177476835352815,7,aoi0002
3,10.034925160370635,7,aoi0002
4,7.102280826799715,7,aoi0002
0,4.869446424328819,12,aoi0002
1,5.200760275599905,12,aoi0002
2,5.771323354716085,12,aoi0002
3,5.994773105250654,12,aoi0002
4,5.1513423616060825,12,aoi0002
0,4.77536231884058,17,aoi0002
