slide_name,blob_index,x_position,y_position,stack_size,reference_z,best_z,z_difference,best_index,focus_metric,color_metric,process_time,capture_status,index,type,id,score,slide_top_edge_px,slide_bottom_edge_px,slide_height_um,slide_found,slide_top_width_um,slide_bottom_width_um,slide_left_bottom_side_px,slide_left_top_side_px,slide_right_bottom_side_px,slide_right_top_side_px,slide_placed,slide_bottom_width_dimension_status,slide_top_width_dimension_status,distance_change_px,left_corner_difference_px,right_corner_difference_px,slope_px,angle_degrees,y_offset_px,x_offset_px,x_offset_um,y_offset_um,placement_status,x_dimen_status,y_dimen_status,height_status,slide_thickness,raw_slide_thickness,cluster_name,scanner_name,u_id,load_identifier,row_index,col_index,time_stamp,slide_id,row,column,loaded_date,_source.data.initial_box_0_0_px,_source.data.initial_box_0_1_px,_source.data.initial_box_1_0_px,_source.data.initial_box_1_1_px,_source.data.initial_box_2_0_px,_source.data.initial_box_2_1_px,_source.data.initial_box_3_0_px,_source.data.initial_box_3_1_px,_source.data.rect_start_x_px,_source.data.rect_start_y_px,_source.data.rect_start_width_px,_source.data.rect_start_height_px,_source.data.rect_angle,_source.data.bottom_edge_px,_source.data.bottom_right_side_edge_px,_source.data.final_box_0_0_px,_source.data.final_box_0_1_px,_source.data.final_box_1_0_px,_source.data.final_box_1_1_px,_source.data.final_box_2_0_px,_source.data.final_box_2_1_px,_source.data.final_box_3_0_px,_source.data.final_box_3_1_px,_source.data.hyp_pyth_theorem,_source.data.opp_pyth_theorem,_source.data.adj_pyth_theorem,permissible_angle,_source.data.actual_angle,_source.data.expected_del_pos_x,_source.data.expected_del_pos_y,_source.data.zoomed_in_del_pos_x,_source.data.zoomed_in_del_pos_y,_source.data.zoom_in_out_ratio,_source.data.zoom_slope,_source.data.slide_pos_x,_source.data.slide_pos_y,_source.data.offset_pos_x_px,_source.data.offset_pos_y_px,_source.data.offset_pos_x_um,_source.data.offset_pos_y_um,_source.data.slide_height_px,_source.data.slide_width_px,slide_width_um,_source.data.y_stage_img_pos_status,_source.data.x_stage_img_pos_status,_source.data.error_x_pos,_source.data.error_y_pos,_source.data.slide_presence_probability,date,_merge
H01CBA05P_95317,1,5150,17418.75,25,6250,6251.875,-1.875,13,15.51648848,8.3672873,9.90865612,1,slide_placement,_doc,2cBov3gBlxRkvwrbml1d,1,110,2046,75504,TRUE,25311,25155,775,155,775,804,TRUE,TRUE,TRUE,29,-620,29,,,,,,,TRUE,TRUE,FALSE,TRUE,0,0,CS002,H01CBA05P,13d31daa-1462-4669-bf9f-73e9df6a60f3,CS002-2-1618118012311,0,7,2021-04-11T05:30:06,95317,,,,,,,,,,,,,,,,,,,155,107,804,112,775,2046,128,2038,25.311,2,1.131,4.532066731,0.859172636,756,172,782,146,0.942028986,25.875,804,107,-22.27958937,38.67089372,-868.75,1512.5,1936,649,25311,FALSE,FALSE,,,FALSE,11/04/2021,both
H01CBA02P_94700,1,24131.25,57275,37,6460,6448.75,11.25,12,8.464995644,9.067792753,8.323924541,1,slide_placement,_doc,w78nv3gBlxRkvwrb70tP,1,159,2083,75613.2,TRUE,25269.9,26841.9,762,130,765,773,TRUE,TRUE,TRUE,8,-632,8,,,,,,,TRUE,TRUE,FALSE,TRUE,0,0,CS002,H01CBA02P,2999574e-90e2-4564-99e4-001fb7481d70,CS002-1-1618066877744,0,4,2021-04-11T04:19:28,94700,,,,,,,,,,,,,,,,,,,130,153,773,165,765,2083,79,2062,25.2699,2,0.3144,4.539453319,0.238982046,747,200,767,180,0.924705882,19.921875,773,153,-6.607536765,26.19577206,-256.25,1031.25,1924,643,25269.9,FALSE,FALSE,,,FALSE,11/04/2021,both
H01CBA02P_94700,2,11875,41262.5,37,6530,6533.75,-3.75,20,17.61178427,7.308374344,5.087524891,1,slide_placement,_doc,w78nv3gBlxRkvwrb70tP,1,159,2083,75613.2,TRUE,25269.9,26841.9,762,130,765,773,TRUE,TRUE,TRUE,8,-632,8,,,,,,,TRUE,TRUE,FALSE,TRUE,0,0,CS002,H01CBA02P,2999574e-90e2-4564-99e4-001fb7481d70,CS002-1-1618066877744,0,4,2021-04-11T04:19:28,94700,,,,,,,,,,,,,,,,,,,130,153,773,165,765,2083,79,2062,25.2699,2,0.3144,4.539453319,0.238982046,747,200,767,180,0.924705882,19.921875,773,153,-6.607536765,26.19577206,-256.25,1031.25,1924,643,25269.9,FALSE,FALSE,,,FALSE,11/04/2021,both
H01CBA02P_94700,6,18406.25,17650,69,6533.75,6530,3.75,32,7.627821335,8.940305565,2.53309989,1,slide_placement,_doc,w78nv3gBlxRkvwrb70tP,1,159,2083,75613.2,TRUE,25269.9,26841.9,762,130,765,773,TRUE,TRUE,TRUE,8,-632,8,,,,,,,TRUE,TRUE,FALSE,TRUE,0,0,CS002,H01CBA02P,2999574e-90e2-4564-99e4-001fb7481d70,CS002-1-1618066877744,0,4,2021-04-11T04:19:28,94700,,,,,,,,,,,,,,,,,,,130,153,773,165,765,2083,79,2062,25.2699,2,0.3144,4.539453319,0.238982046,747,200,767,180,0.924705882,19.921875,773,153,-6.607536765,26.19577206,-256.25,1031.25,1924,643,25269.9,FALSE,FALSE,,,FALSE,11/04/2021,both
H01CBA02P_94700,9,14025,10925,69,6530,6541.25,-11.25,40,11.39023521,8.827738886,1.958710432,1,slide_placement,_doc,w78nv3gBlxRkvwrb70tP,1,159,2083,75613.2,TRUE,25269.9,26841.9,762,130,765,773,TRUE,TRUE,TRUE,8,-632,8,,,,,,,TRUE,TRUE,FALSE,TRUE,0,0,CS002,H01CBA02P,2999574e-90e2-4564-99e4-001fb7481d70,CS002-1-1618066877744,0,4,2021-04-11T04:19:28,94700,,,,,,,,,,,,,,,,,,,130,153,773,165,765,2083,79,2062,25.2699,2,0.3144,4.539453319,0.238982046,747,200,767,180,0.924705882,19.921875,773,153,-6.607536765,26.19577206,-256.25,1031.25,1924,643,25269.9,FALSE,FALSE,,,FALSE,11/04/2021,both
H01CBA02P_94700,13,3456.25,25718.75,69,6530,6554.375,-24.375,47,11.19897838,9.532169019,2.631654739,1,slide_placement,_doc,w78nv3gBlxRkvwrb70tP,1,159,2083,75613.2,TRUE,25269.9,26841.9,762,130,765,773,TRUE,TRUE,TRUE,8,-632,8,,,,,,,TRUE,TRUE,FALSE,TRUE,0,0,CS002,H01CBA02P,2999574e-90e2-4564-99e4-001fb7481d70,CS002-1-1618066877744,0,4,2021-04-11T04:19:28,94700,,,,,,,,,,,,,,,,,,,130,153,773,165,765,2083,79,2062,25.2699,2,0.3144,4.539453319,0.238982046,747,200,767,180,0.924705882,19.921875,773,153,-6.607536765,26.19577206,-256.25,1031.25,1924,643,25269.9,FALSE,FALSE,,,FALSE,11/04/2021,both
H01CBA02P_95203,1,4468.75,43656.25,37,6550,6550,0,18,11.09812307,8.060015091,4.056264877,1,slide_placement,_doc,QcBvv3gBlxRkvwrbGITd,1,157,2083,75691.8,TRUE,25309.2,27117,768,118,768,762,TRUE,TRUE,TRUE,-6,-650,-6,,,,,,,TRUE,TRUE,FALSE,TRUE,0,0,CS002,H01CBA02P,c5852a1e-f8cf-4b27-b45a-9ef927e2a9c9,CS002-1-1618118000086,0,13,2021-04-11T05:37:12,95203,,,,,,,,,,,,,,,,,,,118,157,762,154,775,2072,78,2083,25.3092,2,-0.5109,4.532389727,-0.388347673,747,200,767,180,0.924705882,19.921875,775,154,-8.607536765,25.19577206,-337.5,993.75,1925,644,25309.2,FALSE,FALSE,,,FALSE,11/04/2021,both
H01CBA02P_95203,4,7918.75,23656.25,69,6550,6544.375,5.625,31,11.00926586,7.338830059,3.823642492,1,slide_placement,_doc,QcBvv3gBlxRkvwrbGITd,1,157,2083,75691.8,TRUE,25309.2,27117,768,118,768,762,TRUE,TRUE,TRUE,-6,-650,-6,,,,,,,TRUE,TRUE,FALSE,TRUE,0,0,CS002,H01CBA02P,c5852a1e-f8cf-4b27-b45a-9ef927e2a9c9,CS002-1-1618118000086,0,13,2021-04-11T05:37:12,95203,,,,,,,,,,,,,,,,,,,118,157,762,154,775,2072,78,2083,25.3092,2,-0.5109,4.532389727,-0.388347673,747,200,767,180,0.924705882,19.921875,775,154,-8.607536765,25.19577206,-337.5,993.75,1925,644,25309.2,FALSE,FALSE,,,FALSE,11/04/2021,both
H01CBA06P_95108,1,20631.25,58087.5,25,6560,6556.25,3.75,10,9.026995723,7.647399787,3.909639597,1,slide_placement,_doc,QcGnv3gBlxRkvwrbBO4h,1,75,2018,74805.5,TRUE,25256,25063.5,735,69,735,725,TRUE,TRUE,TRUE,-10,-666,-10,,,,,,,TRUE,TRUE,FALSE,TRUE,0,0,CS002,H01CBA06P,16f09d19-687f-4d41-b69f-205e6d88c7e2,CS002-3-1618117995424,1,8,2021-04-11T06:38:17,95108,,,,,,,,,,,,,,,,,,,69,79,726,75,735,2017,84,2019,25.256,1.75,-0.3465,3.973234939,-0.265532369,705,136,727,114,0.93220339,22.125,735,75,-8.141343826,38.66192494,-312.5,1493.75,1943,656,25256,FALSE,FALSE,,,FALSE,11/04/2021,both
H01CBA06P_95108,2,15650,58043.75,25,6556.25,6561.875,-5.625,15,7.600706819,7.351868496,1.797921181,1,slide_placement,_doc,QcGnv3gBlxRkvwrbBO4h,1,75,2018,74805.5,TRUE,25256,25063.5,735,69,735,725,TRUE,TRUE,TRUE,-10,-666,-10,,,,,,,TRUE,TRUE,FALSE,TRUE,0,0,CS002,H01CBA06P,16f09d19-687f-4d41-b69f-205e6d88c7e2,CS002-3-1618117995424,1,8,2021-04-11T06:38:17,95108,,,,,,,,,,,,,,,,,,,69,79,726,75,735,2017,84,2019,25.256,1.75,-0.3465,3.973234939,-0.265532369,705,136,727,114,0.93220339,22.125,735,75,-8.141343826,38.66192494,-312.5,1493.75,1943,656,25256,FALSE,FALSE,,,FALSE,11/04/2021,both
