Date,Total Scans,Positive,Total_Error,ID
04-19-2021,0,0,0,S1
04-19-2021,57,96.49,2,S2
04-19-2021,17,76.47,4,S3
04-19-2021,0,0,0,S4
04-20-2021,0,0,0,S1
04-20-2021,51,96.07,2,S2
04-20-2021,57,100,0,S3
04-20-2021,0,0,0,S4
04-21-2021,0,0,0,S1
04-21-2021,63,90.47,6,S2
04-21-2021,120,98.33,2,S3
04-21-2021,0,0,0,S4
04-22-2021,63,90.47,6,S1
04-22-2021,45,57.77,19,S2
04-22-2021,109,97.24,3,S3
04-22-2021,0,0,0,S4
04-23-2021,120,94.16,7,S1
04-23-2021,82,36.58,19,S2
04-23-2021,0,0,0,S3
04-23-2021,0,0,0,S4
04-25-2021,99,85.85,14,S1
04-25-2021,45,84.44,7,S2
04-25-2021,120,84.16,19,S3
04-25-2021,102,88.23,12,S4
